name,language,stars,forks,watchers,open_issues,created_date,updated_date,owner_login,license_name
cs249r_book,Python,27994,3534,27994,26,2023-09-06 19:31:06+00:00,2026-08-24 12:32:02+00:00,harvard-edge,Other
shap,Jupyter Notebook,25699,3746,25699,1009,2016-11-22 19:17:08+00:00,2026-08-24 03:00:07+00:00,shap,MIT License
homemade-machine-learning,Jupyter Notebook,24774,4194,24774,30,2018-11-01 04:34:19+00:00,2026-08-23 16:53:03+00:00,trekhleb,MIT License
Paddle,C++,24062,6016,24062,1504,2016-08-15 06:59:08+00:00,2026-08-24 12:56:54+00:00,PaddlePaddle,Apache License 2.0
best-of-ml-python,Unknown,23728,3146,23728,54,2020-11-29 19:41:36+00:00,2026-08-24 16:40:06+00:00,lukasmasuch,Creative Commons Attribution Share Alike 4.0 International
C,C,22340,4770,22340,18,2016-07-16 10:17:03+00:00,2026-08-24 05:37:11+00:00,TheAlgorithms,GNU General Public License v3.0
onnx,Python,21351,4009,21351,286,2017-09-07 04:53:45+00:00,2026-08-24 14:20:28+00:00,onnx,Apache License 2.0
rasa,Python,21304,4920,21304,154,2016-10-14 12:27:49+00:00,2026-08-24 08:36:33+00:00,RasaHQ,Apache License 2.0
video2x,C++,21043,1825,21043,131,2018-02-24 16:34:41+00:00,2026-08-24 16:03:43+00:00,k4yt3x,GNU Affero General Public License v3.0
awesome-production-machine-learning,Unknown,20866,2590,20866,31,2018-08-15 14:28:41+00:00,2026-08-24 16:33:06+00:00,EthicalML,MIT License
machine-learning-for-trading,Jupyter Notebook,20610,5552,20610,9,2018-05-09 12:33:08+00:00,2026-08-24 16:30:58+00:00,stefan-jansen,MIT License
stanford-cs-229-machine-learning,Unknown,20153,4253,20153,20,2018-08-04 23:01:00+00:00,2026-08-24 14:21:35+00:00,afshinea,MIT License
ml-agents,C#,19642,4486,19642,20,2017-09-08 21:09:04+00:00,2026-08-24 14:00:57+00:00,Unity-Technologies,Other
LightGBM,C++,18710,4055,18710,512,2016-08-05 05:45:50+00:00,2026-08-24 16:25:47+00:00,lightgbm-org,MIT License
ml-engineering,Python,18696,1204,18696,4,2020-09-02 19:23:01+00:00,2026-08-24 16:39:12+00:00,stas00,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,Unknown,18144,3969,18144,47,2015-09-12 14:51:38+00:00,2026-08-24 16:33:18+00:00,ujjwalkarn,Creative Commons Zero v1.0 Universal
ML-NLP,Jupyter Notebook,17798,4627,17798,36,2019-07-05 12:49:53+00:00,2026-08-24 11:55:46+00:00,NLP-LOVE,Unknown
brpc,C++,17593,4137,17593,466,2017-09-04 09:28:47+00:00,2026-08-24 10:16:39+00:00,apache,Apache License 2.0
ML-YouTube-Courses,Unknown,17385,2125,17385,21,2021-06-25 09:39:16+00:00,2026-08-24 06:42:45+00:00,dair-ai,Creative Commons Zero v1.0 Universal
numpy-ml,Python,16331,3743,16331,47,2019-04-06 22:29:49+00:00,2026-08-23 06:43:06+00:00,ddbourgin,GNU General Public License v3.0
transformers.js,JavaScript,16264,1184,16264,272,2023-02-13 13:51:45+00:00,2026-08-23 07:40:10+00:00,huggingface,Apache License 2.0
mml-book.github.io,Jupyter Notebook,15919,2854,15919,197,2017-12-08 10:52:21+00:00,2026-08-24 16:28:15+00:00,mml-book,Unknown
kubeflow,Unknown,15827,2691,15827,0,2017-11-30 18:44:19+00:00,2026-08-24 07:03:08+00:00,kubeflow,Apache License 2.0
cheatsheets-ai,Unknown,15428,3372,15428,12,2017-05-24 12:06:56+00:00,2026-08-24 07:46:41+00:00,kailashahirwar,MIT License
ggml,C++,15221,1788,15221,351,2022-09-18 17:07:19+00:00,2026-08-24 02:51:29+00:00,ggml-org,MIT License
Qix,Unknown,15194,4574,15194,0,2014-04-20 11:03:15+00:00,2026-08-24 16:33:41+00:00,ty4z2008,Other
imgaug,Python,14739,2451,14739,311,2015-07-10 20:31:33+00:00,2026-08-24 02:51:04+00:00,aleju,MIT License
bullet3,C++,14692,3090,14692,424,2011-04-12 18:45:08+00:00,2026-08-24 11:19:23+00:00,bulletphysics,Other
ChatterBot,Python,14509,4421,14509,74,2014-09-28 14:49:00+00:00,2026-08-20 11:19:50+00:00,gunthercox,"BSD 3-Clause ""New"" or ""Revised"" License"
dlib,C++,14431,3442,14431,38,2014-01-29 00:45:33+00:00,2026-08-24 16:19:06+00:00,davisking,Boost Software License 1.0
nni,Python,14362,1851,14362,415,2018-06-01 05:51:44+00:00,2026-08-23 09:34:45+00:00,microsoft,MIT License
mit-deep-learning-book-pdf,Java,14212,2911,14212,12,2017-04-07 10:46:50+00:00,2026-08-24 06:44:15+00:00,janishar,Unknown
ivy,Python,14171,5459,14171,985,2021-01-19 08:37:25+00:00,2026-08-22 21:46:23+00:00,unifyai,Other
machine-learning-zoomcamp,Jupyter Notebook,14006,3106,14006,3,2020-04-17 04:29:23+00:00,2026-08-24 16:11:45+00:00,DataTalksClub,Unknown
handson-ml3,Jupyter Notebook,13993,5262,13993,107,2022-02-19 09:43:22+00:00,2026-08-24 16:38:22+00:00,ageron,Apache License 2.0
tvm,Python,13680,3961,13680,234,2016-10-12 22:20:28+00:00,2026-08-24 15:32:46+00:00,apache,Apache License 2.0
Ai-Learn,Unknown,13281,2674,13281,20,2020-01-28 01:55:06+00:00,2026-08-24 05:19:17+00:00,tangyudi,Unknown
deep-learning-drizzle,HTML,12934,2988,12934,5,2018-11-26 01:17:36+00:00,2026-08-24 00:06:28+00:00,kmario23,Unknown
machine-learning-interview,Unknown,12792,2046,12792,9,2020-08-11 06:26:32+00:00,2026-08-24 13:45:11+00:00,khangich,Unknown
python-machine-learning-book,Jupyter Notebook,12643,4373,12643,13,2015-08-07 20:39:29+00:00,2026-08-24 10:22:13+00:00,rasbt,MIT License
predictionio,Scala,12518,1897,12518,80,2013-01-25 19:42:32+00:00,2026-08-21 05:59:51+00:00,apache,Apache License 2.0
lime,JavaScript,12166,1847,12166,133,2016-03-15 22:18:10+00:00,2026-08-22 17:53:50+00:00,marcotcr,"BSD 2-Clause ""Simplified"" License"
cleanlab,Python,11632,917,11632,122,2018-05-11 01:55:21+00:00,2026-08-24 07:03:41+00:00,cleanlab,Apache License 2.0
dive-into-machine-learning,Unknown,11390,1866,11390,0,2015-02-22 23:48:16+00:00,2026-08-20 20:37:28+00:00,dive-into-machine-learning,Creative Commons Attribution 4.0 International
MLAlgorithms,Python,11168,1768,11168,10,2016-10-05 06:46:45+00:00,2026-08-24 08:07:27+00:00,rushter,MIT License
turicreate,C++,11159,1118,11159,522,2017-12-01 00:42:04+00:00,2026-08-23 13:21:07+00:00,apple,"BSD 3-Clause ""New"" or ""Revised"" License"
amazon-sagemaker-examples,Jupyter Notebook,10980,6960,10980,849,2017-10-23 05:55:22+00:00,2026-08-23 12:50:33+00:00,aws,Apache License 2.0
A-Curated-List-of-ML-System-Design-Case-Studies,Unknown,10951,1681,10951,7,2024-05-18 15:42:58+00:00,2026-08-22 18:22:47+00:00,Engineer1999,Unknown
dolly,Python,10805,1139,10805,5,2023-03-24 16:15:53+00:00,2026-08-24 14:40:30+00:00,databrickslabs,Apache License 2.0
doccano,Python,10757,1824,10757,397,2018-05-09 06:10:05+00:00,2026-08-24 10:04:14+00:00,doccano,MIT License
mlcourse.ai,Python,10692,5695,10692,3,2017-02-27 08:32:20+00:00,2026-08-21 15:24:19+00:00,Yorko,Other
machine-learning-systems-design,HTML,10544,1633,10544,11,2019-11-24 23:16:28+00:00,2026-08-24 15:46:26+00:00,chiphuyen,Unknown
Machine-Learning,Python,10373,5064,10373,7,2017-03-25 07:32:37+00:00,2026-08-24 12:21:10+00:00,Jack-Cherish,Unknown
machine-learning-notes,Jupyter Notebook,10341,1826,10341,28,2018-02-15 15:42:33+00:00,2026-08-24 10:39:11+00:00,roboticcam,Unknown
3D-Machine-Learning,Unknown,10191,1797,10191,21,2017-08-12 15:20:54+00:00,2026-08-21 09:19:46+00:00,timzhang642,Unknown
tpot,Jupyter Notebook,10052,1562,10052,312,2015-11-03 21:08:40+00:00,2026-08-24 12:00:23+00:00,EpistasisLab,GNU Lesser General Public License v3.0
sktime,Python,9963,2307,9963,2386,2018-11-06 15:08:24+00:00,2026-08-24 07:03:51+00:00,sktime,"BSD 3-Clause ""New"" or ""Revised"" License"
Stock-Prediction-Models,Jupyter Notebook,9481,3046,9481,47,2017-12-18 10:49:59+00:00,2026-08-24 08:05:43+00:00,huseinzol05,Apache License 2.0
cog,Go,9460,696,9460,70,2021-02-26 23:43:09+00:00,2026-08-22 06:21:40+00:00,replicate,Apache License 2.0
AIMLInterviews,Jupyter Notebook,9458,1665,9458,11,2021-01-31 03:52:09+00:00,2026-08-24 09:16:57+00:00,alirezadir,MIT License
golearn,Go,9439,1165,9439,89,2013-12-26 13:06:14+00:00,2026-08-22 06:12:09+00:00,sjwhitworth,MIT License
machinelearning,C#,9352,1950,9352,1009,2018-05-03 16:20:42+00:00,2026-08-24 08:41:37+00:00,dotnet,MIT License
awesome-ml-for-cybersecurity,Unknown,9320,1941,9320,33,2016-12-20 12:46:36+00:00,2026-08-24 16:09:31+00:00,jivoi,Other
awesome-project-ideas,Unknown,9287,1292,9287,7,2017-08-19 09:37:58+00:00,2026-08-24 16:35:26+00:00,NirantK,MIT License
catboost,C++,9075,1321,9075,715,2017-07-18 05:29:04+00:00,2026-08-24 13:54:36+00:00,catboost,Apache License 2.0
machine_learning_examples,Python,8913,6402,8913,33,2014-07-31 23:40:45+00:00,2026-08-24 12:01:03+00:00,lazyprogrammer,Unknown
state-of-the-art-result-for-machine-learning-problems,Unknown,8893,1293,8893,14,2017-11-09 01:21:40+00:00,2026-08-24 11:58:07+00:00,RedditSota,Apache License 2.0
pattern,Python,8861,1558,8861,179,2011-05-03 15:29:01+00:00,2026-08-22 10:39:09+00:00,clips,"BSD 3-Clause ""New"" or ""Revised"" License"
financial-machine-learning,Python,8757,1410,8757,15,2019-03-21 21:00:35+00:00,2026-08-24 08:59:21+00:00,firmai,Unknown
machinelearning,Jupyter Notebook,8706,3686,8706,17,2016-05-12 07:06:34+00:00,2026-08-21 06:07:46+00:00,ljpzzz,MIT License
vowpal_wabbit,C++,8706,1926,8706,1,2009-07-31 19:36:58+00:00,2026-08-23 14:15:05+00:00,VowpalWabbit,Other
MachineLearning_Python,Python,8582,2515,8582,10,2016-10-17 15:44:59+00:00,2026-08-24 01:16:06+00:00,lawlite19,MIT License
Machine-Learning-Collection,Python,8488,2784,8488,118,2020-03-26 07:02:40+00:00,2026-08-24 07:23:55+00:00,aladdinpersson,MIT License
approachingalmost,Unknown,8373,1122,8373,54,2020-07-04 07:13:20+00:00,2026-08-22 21:54:43+00:00,abhishekkrthakur,Unknown
introduction_to_ml_with_python,Jupyter Notebook,8156,4671,8156,28,2016-05-29 18:29:47+00:00,2026-08-24 13:29:51+00:00,amueller,Unknown
auto-sklearn,Python,8126,1324,8126,207,2015-07-02 15:38:10+00:00,2026-08-24 16:08:22+00:00,automl,"BSD 3-Clause ""New"" or ""Revised"" License"
machine-learning-cheat-sheet,TeX,8044,1332,8044,11,2013-05-09 07:43:59+00:00,2026-08-23 02:13:48+00:00,soulmachine,Unknown
cortex,Go,8011,594,8011,132,2019-01-24 04:43:14+00:00,2026-08-20 21:08:25+00:00,cortexlabs,Apache License 2.0
machine-learning-roadmap,Unknown,7894,1167,7894,12,2020-07-09 07:07:47+00:00,2026-08-24 05:15:46+00:00,mrdbourke,MIT License
machine-learning-yearning-cn,CSS,7845,1499,7845,4,2018-06-19 19:26:39+00:00,2026-08-23 08:15:51+00:00,deeplearning-ai,Other
Machine-Learning-Specialization-Coursera,Jupyter Notebook,7808,3729,7808,26,2022-06-16 15:31:02+00:00,2026-08-24 09:38:33+00:00,greyhatguy007,MIT License
Machine-learning-learning-notes,Unknown,7763,1879,7763,28,2018-03-24 06:48:10+00:00,2026-08-24 10:24:38+00:00,Vay-keen,Unknown
awesome-youtubers,Markdown,7748,498,7748,2,2020-08-25 14:18:15+00:00,2026-08-24 16:35:48+00:00,JoseDeFreitas,Creative Commons Zero v1.0 Universal
Learn_Machine_Learning_in_3_Months,Unknown,7603,2311,7603,19,2018-03-02 10:59:53+00:00,2026-08-21 16:08:33+00:00,llSourcell,Unknown
h2o-3,Jupyter Notebook,7495,2025,7495,2883,2014-03-03 16:08:07+00:00,2026-08-21 06:04:07+00:00,h2oai,Apache License 2.0
industry-machine-learning,Jupyter Notebook,7484,1249,7484,3,2019-05-03 05:08:15+00:00,2026-08-23 10:20:34+00:00,firmai,Unknown
